match_no,slug,phase,team_a,a_wcs,a_best,a_pwdl,a_gfga,team_b,b_wcs,b_best,b_pwdl,b_gfga,h2h_meetings,h2h_detail,a_resolved,b_resolved,status
85,m085-r32,r32,,,,,,,,,,,,,,,TBD
86,m086-r32,r32,,,,,,,,,,,,,,,TBD
87,m087-r32,r32,,,,,,,,,,,,,,,TBD
88,m088-r32,r32,,,,,,,,,,,,,,,TBD
89,m089-r16,r16,,,,,,,,,,,,,,,TBD
90,m090-r16,r16,,,,,,,,,,,,,,,TBD
91,m091-r16,r16,,,,,,,,,,,,,,,TBD
92,m092-r16,r16,,,,,,,,,,,,,,,TBD
93,m093-r16,r16,,,,,,,,,,,,,,,TBD
94,m094-r16,r16,,,,,,,,,,,,,,,TBD
95,m095-r16,r16,,,,,,,,,,,,,,,TBD
96,m096-r16,r16,,,,,,,,,,,,,,,TBD
97,m097-qf,qf,,,,,,,,,,,,,,,TBD
98,m098-qf,qf,,,,,,,,,,,,,,,TBD
99,m099-qf,qf,,,,,,,,,,,,,,,TBD
100,m100-qf,qf,,,,,,,,,,,,,,,TBD
101,m101-sf,sf,,,,,,,,,,,,,,,TBD
102,m102-sf,sf,,,,,,,,,,,,,,,TBD
103,m103-third,third,,,,,,,,,,,,,,,TBD
104,m104-final,final,,,,,,,,,,,,,,,TBD
